"UF";"Estado";"Indicador";"Ano";"Quadrimestre";"Equipe";"Numerador";"Denominador_Informado";"Denominador_Estimado";"Indicador_calculado";"Tempo";"REGIAO"
"TO";"TOCANTINS";3;2019;"Q2";"todas";"1558";"5684";"6479";"0.24";"2019Q2";"Norte"
"AC";"ACRE";3;2019;"Q3";"todas";"369";"3459";"3712";"0.1";"2019Q3";"Norte"
"AL";"ALAGOAS";3;2019;"Q3";"todas";"3352";"9401";"10951";"0.31";"2019Q3";"Nordeste"
"AM";"AMAZONAS";3;2019;"Q3";"todas";"3621";"14362";"13434";"0.25";"2019Q3";"Norte"
"AP";"AMAPÁ";3;2019;"Q3";"todas";"322";"2045";"3329";"0.1";"2019Q3";"Norte"
"BA";"BAHIA";3;2019;"Q3";"todas";"8409";"36607";"46989";"0.18";"2019Q3";"Nordeste"
"CE";"CEARÁ";3;2019;"Q3";"todas";"8069";"28405";"33043";"0.24";"2019Q3";"Nordeste"
"DF";"DISTRITO FEDERAL";3;2019;"Q3";"todas";"1365";"7827";"8997";"0.15";"2019Q3";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";3;2019;"Q3";"todas";"1261";"4888";"10492";"0.12";"2019Q3";"Sudeste"
"GO";"GOIÁS";3;2019;"Q3";"todas";"1859";"10992";"20406";"0.09";"2019Q3";"Centro-Oeste"
"MA";"MARANHÃO";3;2019;"Q3";"todas";"4233";"23852";"28684";"0.15";"2019Q3";"Nordeste"
"MG";"MINAS GERAIS";3;2019;"Q3";"todas";"10892";"38070";"61691";"0.18";"2019Q3";"Sudeste"
"MS";"MATO GROSSO DO SUL";3;2019;"Q3";"todas";"1977";"5601";"10793";"0.18";"2019Q3";"Centro-Oeste"
"MT";"MATO GROSSO";3;2019;"Q3";"todas";"1807";"9739";"11250";"0.16";"2019Q3";"Centro-Oeste"
"PA";"PARÁ";3;2019;"Q3";"todas";"4089";"24832";"29982";"0.14";"2019Q3";"Norte"
"PB";"PARAÍBA";3;2019;"Q3";"todas";"4188";"12445";"15179";"0.28";"2019Q3";"Nordeste"
"PE";"PERNAMBUCO";3;2019;"Q3";"todas";"7600";"23594";"31423";"0.24";"2019Q3";"Nordeste"
"PI";"PIAUÍ";3;2019;"Q3";"todas";"3364";"10892";"13350";"0.25";"2019Q3";"Nordeste"
"PR";"PARANÁ";3;2019;"Q3";"todas";"10453";"25367";"34167";"0.31";"2019Q3";"Sul"
"RJ";"RIO DE JANEIRO";3;2019;"Q3";"todas";"4393";"17119";"42867";"0.1";"2019Q3";"Sudeste"
"RN";"RIO GRANDE DO NORTE";3;2019;"Q3";"todas";"2427";"8435";"10610";"0.23";"2019Q3";"Nordeste"
"RO";"RONDÔNIA";3;2019;"Q3";"todas";"500";"5902";"6048";"0.08";"2019Q3";"Norte"
"RR";"RORAIMA";3;2019;"Q3";"todas";"580";"3343";"2444";"0.17";"2019Q3";"Norte"
"RS";"RIO GRANDE DO SUL";3;2019;"Q3";"todas";"3748";"14796";"27631";"0.14";"2019Q3";"Sul"
"SC";"SANTA CATARINA";3;2019;"Q3";"todas";"4751";"15554";"24231";"0.2";"2019Q3";"Sul"
"SE";"SERGIPE";3;2019;"Q3";"todas";"1419";"5956";"8455";"0.17";"2019Q3";"Nordeste"
"SP";"SÃO PAULO";3;2019;"Q3";"todas";"17654";"58555";"90187";"0.2";"2019Q3";"Sudeste"
"TO";"TOCANTINS";3;2019;"Q3";"todas";"1526";"5400";"6544";"0.23";"2019Q3";"Norte"
"AC";"ACRE";3;2020;"Q1";"todas";"370";"3063";"3715";"0.1";"2020Q1";"Norte"
"AL";"ALAGOAS";3;2020;"Q1";"todas";"3352";"9023";"10964";"0.31";"2020Q1";"Nordeste"
"AM";"AMAZONAS";3;2020;"Q1";"todas";"3714";"14007";"14197";"0.26";"2020Q1";"Norte"
"AP";"AMAPÁ";3;2020;"Q1";"todas";"345";"1892";"3512";"0.1";"2020Q1";"Norte"
"BA";"BAHIA";3;2020;"Q1";"todas";"8682";"36791";"48784";"0.18";"2020Q1";"Nordeste"
"CE";"CEARÁ";3;2020;"Q1";"todas";"8798";"28353";"33154";"0.27";"2020Q1";"Nordeste"
"DF";"DISTRITO FEDERAL";3;2020;"Q1";"todas";"1157";"7117";"9754";"0.12";"2020Q1";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";3;2020;"Q1";"todas";"1595";"5487";"11735";"0.14";"2020Q1";"Sudeste"
"GO";"GOIÁS";3;2020;"Q1";"todas";"1998";"11614";"20843";"0.1";"2020Q1";"Centro-Oeste"
"MA";"MARANHÃO";3;2020;"Q1";"todas";"4009";"21945";"28867";"0.14";"2020Q1";"Nordeste"
"MG";"MINAS GERAIS";3;2020;"Q1";"todas";"11591";"39294";"62701";"0.18";"2020Q1";"Sudeste"
